center,left,right,steering,speed,throttle,brake
F:\Study Material\IMG\center_2018_05_22_00_58_36_630.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_36_630.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_36_630.jpg,0.0,0.3894683,0.0,22.836779999999997
F:\Study Material\IMG\center_2018_05_22_00_58_36_731.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_36_731.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_36_731.jpg,0.0,0.08264054,0.0,22.90239
F:\Study Material\IMG\center_2018_05_22_00_58_36_869.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_36_869.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_36_869.jpg,-0.41208100000000003,0.0,0.0,22.43398
F:\Study Material\IMG\center_2018_05_22_00_58_36_971.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_36_971.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_36_971.jpg,-0.7191564,0.0,0.0,22.07072
F:\Study Material\IMG\center_2018_05_22_00_58_37_122.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_122.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_122.jpg,-1.0,0.0,0.0,21.26976
F:\Study Material\IMG\center_2018_05_22_00_58_37_225.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_225.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_225.jpg,-1.0,0.0,0.0,20.85681
F:\Study Material\IMG\center_2018_05_22_00_58_37_358.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_358.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_358.jpg,-0.6038153,0.0,0.0,20.64082
F:\Study Material\IMG\center_2018_05_22_00_58_37_464.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_464.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_464.jpg,-0.327385,0.0,0.0,20.489060000000002
F:\Study Material\IMG\center_2018_05_22_00_58_37_590.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_590.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_590.jpg,-0.6980105,0.0,0.0,20.12572
F:\Study Material\IMG\center_2018_05_22_00_58_37_699.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_699.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_699.jpg,-1.0,0.0,0.0,19.92474
F:\Study Material\IMG\center_2018_05_22_00_58_37_833.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_833.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_833.jpg,-0.6043708000000001,0.0,0.0,19.4063
F:\Study Material\IMG\center_2018_05_22_00_58_37_935.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_37_935.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_37_935.jpg,-0.29338359999999997,0.3109872,0.0,19.86303
F:\Study Material\IMG\center_2018_05_22_00_58_38_072.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_072.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_072.jpg,0.0,0.7148188,0.0,20.53096
F:\Study Material\IMG\center_2018_05_22_00_58_38_176.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_176.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_176.jpg,0.0,1.0,0.0,21.523229999999998
F:\Study Material\IMG\center_2018_05_22_00_58_38_309.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_309.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_309.jpg,0.0,1.0,0.0,22.94541
F:\Study Material\IMG\center_2018_05_22_00_58_38_412.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_412.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_412.jpg,0.0,1.0,0.0,23.9427
F:\Study Material\IMG\center_2018_05_22_00_58_38_547.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_547.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_547.jpg,0.0,1.0,0.0,25.32252
F:\Study Material\IMG\center_2018_05_22_00_58_38_662.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_662.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_662.jpg,0.0,1.0,0.0,26.29525
F:\Study Material\IMG\center_2018_05_22_00_58_38_769.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_769.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_769.jpg,-0.11388410000000002,1.0,0.0,27.44684
F:\Study Material\IMG\center_2018_05_22_00_58_38_941.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_38_941.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_38_941.jpg,-0.6253333000000001,1.0,0.0,28.426840000000002
F:\Study Material\IMG\center_2018_05_22_00_58_39_048.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_048.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_048.jpg,-0.3009841,1.0,0.0,29.52174
F:\Study Material\IMG\center_2018_05_22_00_58_39_188.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_188.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_188.jpg,0.0,0.5817446999999999,0.0,30.082659999999997
F:\Study Material\IMG\center_2018_05_22_00_58_39_296.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_296.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_296.jpg,0.0,0.2533003,0.0,30.024009999999997
F:\Study Material\IMG\center_2018_05_22_00_58_39_452.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_452.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_452.jpg,0.0,0.0,0.0,29.57852
F:\Study Material\IMG\center_2018_05_22_00_58_39_558.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_558.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_558.jpg,-0.07470317,0.0,0.0,29.296709999999997
F:\Study Material\IMG\center_2018_05_22_00_58_39_702.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_702.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_702.jpg,-0.5017419,0.0,0.0,28.580759999999998
F:\Study Material\IMG\center_2018_05_22_00_58_39_804.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_804.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_804.jpg,-0.8079752,0.0,0.0,27.809540000000002
F:\Study Material\IMG\center_2018_05_22_00_58_39_916.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_39_916.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_39_916.jpg,-1.0,0.0,0.0,27.135309999999997
F:\Study Material\IMG\center_2018_05_22_00_58_40_102.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_102.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_102.jpg,-0.44941140000000007,0.0,0.0,26.82115
F:\Study Material\IMG\center_2018_05_22_00_58_40_212.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_212.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_212.jpg,-0.11118210000000002,0.0,0.0,26.59507
F:\Study Material\IMG\center_2018_05_22_00_58_40_393.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_393.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_393.jpg,0.0,0.0,0.0,26.19724
F:\Study Material\IMG\center_2018_05_22_00_58_40_504.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_504.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_504.jpg,0.0,0.0,0.12131549999999999,25.66498
F:\Study Material\IMG\center_2018_05_22_00_58_40_667.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_667.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_667.jpg,0.0,0.0,0.0,24.4869
F:\Study Material\IMG\center_2018_05_22_00_58_40_779.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_779.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_779.jpg,0.0,0.0,0.0,24.08426
F:\Study Material\IMG\center_2018_05_22_00_58_40_952.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_40_952.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_40_952.jpg,0.0,0.0,0.0,23.93179
F:\Study Material\IMG\center_2018_05_22_00_58_41_065.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_065.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_065.jpg,-0.07151829999999999,0.0,0.0,23.704710000000002
F:\Study Material\IMG\center_2018_05_22_00_58_41_244.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_244.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_244.jpg,-0.6049737,0.0,0.0,22.84064
F:\Study Material\IMG\center_2018_05_22_00_58_41_349.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_349.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_349.jpg,-0.28531009999999996,0.0,0.0,22.74038
F:\Study Material\IMG\center_2018_05_22_00_58_41_457.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_457.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_457.jpg,0.0,0.0,0.0,22.50818
F:\Study Material\IMG\center_2018_05_22_00_58_41_563.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_563.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_563.jpg,0.0,0.0,0.0,22.3055
F:\Study Material\IMG\center_2018_05_22_00_58_41_670.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_670.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_670.jpg,-0.319278,0.0,0.0,22.06531
F:\Study Material\IMG\center_2018_05_22_00_58_41_777.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_777.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_777.jpg,-0.02266893,0.0,0.0,21.892529999999997
F:\Study Material\IMG\center_2018_05_22_00_58_41_879.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_879.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_879.jpg,0.0,0.0,0.0,21.72758
F:\Study Material\IMG\center_2018_05_22_00_58_41_993.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_41_993.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_41_993.jpg,0.0,0.3453781,0.0,21.8588
F:\Study Material\IMG\center_2018_05_22_00_58_42_157.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_157.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_157.jpg,0.0,0.8317446,0.0,23.1373
F:\Study Material\IMG\center_2018_05_22_00_58_42_270.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_270.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_270.jpg,0.0,0.4904483,0.0,23.80162
F:\Study Material\IMG\center_2018_05_22_00_58_42_437.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_437.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_437.jpg,0.0,0.0,0.0,23.54768
F:\Study Material\IMG\center_2018_05_22_00_58_42_549.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_549.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_549.jpg,0.0,0.0,0.07858954,23.30891
F:\Study Material\IMG\center_2018_05_22_00_58_42_723.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_723.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_723.jpg,0.0,0.0,0.5932263000000001,20.670189999999998
F:\Study Material\IMG\center_2018_05_22_00_58_42_840.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_42_840.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_42_840.jpg,0.0,0.0,0.9411052,18.69046
F:\Study Material\IMG\center_2018_05_22_00_58_43_010.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_010.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_010.jpg,0.0,0.0,1.0,5.980021
F:\Study Material\IMG\center_2018_05_22_00_58_43_128.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_128.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_128.jpg,0.0,0.0,1.0,3.116633
F:\Study Material\IMG\center_2018_05_22_00_58_43_275.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_275.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_275.jpg,0.0,0.0,1.0,1.116491
F:\Study Material\IMG\center_2018_05_22_00_58_43_390.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_390.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_390.jpg,0.0,0.0,1.0,0.1434011
F:\Study Material\IMG\center_2018_05_22_00_58_43_568.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_568.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_568.jpg,0.0,0.0,0.4661925,0.33696020000000004
F:\Study Material\IMG\center_2018_05_22_00_58_43_684.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_684.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_684.jpg,-0.0740927,0.0,0.11360930000000001,0.4137332
F:\Study Material\IMG\center_2018_05_22_00_58_43_829.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_829.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_829.jpg,0.0,0.0,0.0,0.35808070000000003
F:\Study Material\IMG\center_2018_05_22_00_58_43_940.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_43_940.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_43_940.jpg,0.0,0.0,0.0,0.3271353
F:\Study Material\IMG\center_2018_05_22_00_58_44_118.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_118.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_118.jpg,0.0,0.0,0.0,0.272266
F:\Study Material\IMG\center_2018_05_22_00_58_44_247.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_247.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_247.jpg,0.07805136,0.0,0.37715590000000004,0.36943590000000004
F:\Study Material\IMG\center_2018_05_22_00_58_44_403.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_403.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_403.jpg,0.5442363,0.0,0.8433408000000001,0.7240304
F:\Study Material\IMG\center_2018_05_22_00_58_44_521.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_521.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_521.jpg,0.9015895,0.0,1.0,1.1287909999999999
F:\Study Material\IMG\center_2018_05_22_00_58_44_703.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_703.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_703.jpg,1.0,0.0,1.0,1.6758790000000001
F:\Study Material\IMG\center_2018_05_22_00_58_44_819.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_819.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_819.jpg,0.9154610999999999,0.0,0.9154610999999999,2.050783
F:\Study Material\IMG\center_2018_05_22_00_58_44_981.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_44_981.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_44_981.jpg,0.4416748,0.0,0.4416748,2.210426
F:\Study Material\IMG\center_2018_05_22_00_58_45_085.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_085.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_085.jpg,0.11605239999999999,0.0,0.11605239999999999,2.249372
F:\Study Material\IMG\center_2018_05_22_00_58_45_229.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_229.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_229.jpg,0.0,0.0,0.0,2.163021
F:\Study Material\IMG\center_2018_05_22_00_58_45_351.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_351.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_351.jpg,0.0,0.0,0.0,2.101766
F:\Study Material\IMG\center_2018_05_22_00_58_45_515.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_515.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_515.jpg,0.0,0.4787464,0.0,1.1433879999999998
F:\Study Material\IMG\center_2018_05_22_00_58_45_644.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_644.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_644.jpg,0.0,0.858699,0.0,0.12138489999999999
F:\Study Material\IMG\center_2018_05_22_00_58_45_835.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_835.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_835.jpg,0.0,1.0,0.0,2.0152740000000002
F:\Study Material\IMG\center_2018_05_22_00_58_45_958.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_45_958.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_45_958.jpg,-0.3880613,1.0,0.0,3.2537439999999997
F:\Study Material\IMG\center_2018_05_22_00_58_46_137.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_137.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_137.jpg,-0.9155767,1.0,0.0,5.206298
F:\Study Material\IMG\center_2018_05_22_00_58_46_262.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_262.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_262.jpg,-1.0,0.616714,0.0,6.328461
F:\Study Material\IMG\center_2018_05_22_00_58_46_445.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_445.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_445.jpg,-1.0,0.07545912,0.0,6.41557
F:\Study Material\IMG\center_2018_05_22_00_58_46_546.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_546.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_546.jpg,-0.9717231,0.0,0.0,6.362575
F:\Study Material\IMG\center_2018_05_22_00_58_46_655.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_655.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_655.jpg,-0.6481435999999999,0.0,0.0,6.350736
F:\Study Material\IMG\center_2018_05_22_00_58_46_764.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_764.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_764.jpg,-0.3185265,0.0,0.0,6.3158080000000005
F:\Study Material\IMG\center_2018_05_22_00_58_46_939.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_46_939.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_46_939.jpg,0.0,0.0,0.0,6.21773
F:\Study Material\IMG\center_2018_05_22_00_58_47_057.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_057.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_057.jpg,0.0,0.0,0.0,6.165619
F:\Study Material\IMG\center_2018_05_22_00_58_47_215.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_215.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_215.jpg,0.0,0.4682988,0.0,6.977536
F:\Study Material\IMG\center_2018_05_22_00_58_47_333.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_333.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_333.jpg,0.0,0.8280002000000001,0.0,7.943805
F:\Study Material\IMG\center_2018_05_22_00_58_47_500.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_500.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_500.jpg,0.0,1.0,0.0,2.3268619999999998
F:\Study Material\IMG\center_2018_05_22_00_58_47_600.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_600.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_600.jpg,-0.2854052,0.7145948000000001,0.0,1.21156
F:\Study Material\IMG\center_2018_05_22_00_58_47_714.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_714.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_714.jpg,-0.6312906999999999,0.36870929999999996,0.0,0.18965320000000002
F:\Study Material\IMG\center_2018_05_22_00_58_47_827.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_827.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_827.jpg,-0.9855688,0.5856458999999999,0.0,0.5442442
F:\Study Material\IMG\center_2018_05_22_00_58_47_973.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_47_973.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_47_973.jpg,-0.5567603,0.15683729999999999,0.0,0.04792193
F:\Study Material\IMG\center_2018_05_22_00_58_48_084.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_084.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_084.jpg,-0.2059107,0.0,0.0,0.01746018
F:\Study Material\IMG\center_2018_05_22_00_58_48_260.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_260.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_260.jpg,0.0,0.0,0.512393,0.2662266
F:\Study Material\IMG\center_2018_05_22_00_58_48_375.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_375.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_375.jpg,0.0,0.0,0.8620523999999999,0.5986331
F:\Study Material\IMG\center_2018_05_22_00_58_48_546.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_546.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_546.jpg,0.0,0.0,1.0,1.101904
F:\Study Material\IMG\center_2018_05_22_00_58_48_662.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_662.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_662.jpg,0.3489031,0.0,1.0,1.4779870000000002
F:\Study Material\IMG\center_2018_05_22_00_58_48_874.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_874.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_874.jpg,0.9826676999999999,0.0,1.0,2.123014
F:\Study Material\IMG\center_2018_05_22_00_58_48_988.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_48_988.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_48_988.jpg,1.0,0.0,1.0,2.491422
F:\Study Material\IMG\center_2018_05_22_00_58_49_155.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_155.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_155.jpg,1.0,0.0,1.0,2.9628080000000003
F:\Study Material\IMG\center_2018_05_22_00_58_49_253.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_253.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_253.jpg,0.6994135,0.0,0.6994135,3.174734
F:\Study Material\IMG\center_2018_05_22_00_58_49_376.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_376.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_376.jpg,0.3291427,0.0,0.3291427,3.313529
F:\Study Material\IMG\center_2018_05_22_00_58_49_539.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_539.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_539.jpg,0.0,0.0,0.0,3.229571
F:\Study Material\IMG\center_2018_05_22_00_58_49_666.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_666.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_666.jpg,0.0,0.0,0.0,3.154587
F:\Study Material\IMG\center_2018_05_22_00_58_49_774.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_774.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_774.jpg,0.0,0.0,0.0,3.1017330000000003
F:\Study Material\IMG\center_2018_05_22_00_58_49_968.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_49_968.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_49_968.jpg,0.0,0.0,0.0,2.997751
F:\Study Material\IMG\center_2018_05_22_00_58_50_095.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_095.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_095.jpg,0.0,0.0,0.0,2.9364470000000003
F:\Study Material\IMG\center_2018_05_22_00_58_50_290.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_290.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_290.jpg,0.0,0.5686349,0.0,1.509059
F:\Study Material\IMG\center_2018_05_22_00_58_50_422.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_422.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_422.jpg,0.0,0.9677783000000001,0.0,0.3079755
F:\Study Material\IMG\center_2018_05_22_00_58_50_613.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_613.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_613.jpg,0.0,1.0,0.0,1.7750099999999998
F:\Study Material\IMG\center_2018_05_22_00_58_50_716.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_716.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_716.jpg,0.0,1.0,0.0,2.74231
F:\Study Material\IMG\center_2018_05_22_00_58_50_911.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_50_911.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_50_911.jpg,0.0,1.0,0.0,4.940626
F:\Study Material\IMG\center_2018_05_22_00_58_51_036.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_036.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_036.jpg,0.0,0.6184089,0.0,5.9817480000000005
F:\Study Material\IMG\center_2018_05_22_00_58_51_208.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_208.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_208.jpg,0.0,1.0,0.0,8.050908
F:\Study Material\IMG\center_2018_05_22_00_58_51_308.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_308.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_308.jpg,0.0,1.0,0.0,9.196652
F:\Study Material\IMG\center_2018_05_22_00_58_51_416.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_416.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_416.jpg,-0.32038649999999996,1.0,0.0,10.272739999999999
F:\Study Material\IMG\center_2018_05_22_00_58_51_520.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_520.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_520.jpg,-0.5852487,1.0,0.0,11.28082
F:\Study Material\IMG\center_2018_05_22_00_58_51_662.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_662.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_662.jpg,-0.2264871,0.5901052,0.0,12.126669999999999
F:\Study Material\IMG\center_2018_05_22_00_58_51_778.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_778.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_778.jpg,0.0,0.22681329999999997,0.0,12.64027
F:\Study Material\IMG\center_2018_05_22_00_58_51_971.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_51_971.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_51_971.jpg,0.0,0.0,0.0,12.5105
F:\Study Material\IMG\center_2018_05_22_00_58_52_077.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_52_077.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_52_077.jpg,0.0,0.0,0.0,8.887074
